ticker,date,last_open,last_high,last_low,last_close,last_volume,rvi,hlc3,ema,hma,tema,fwma,hwma,kama,swma,mi,atr,price_distance,mfi,obv,pvt
WS,2025-09-17 00:30:05,33.4900016784668,34.369998931884766,32.939998626708984,33.09000015258789,330500,58.751781955653584,33.46666590372721,32.507582523960906,32.8471514999918,33.21233080169199,33.15585357347227,33.7812925300923,31.860880384926894,32.5417470296224,1.0519076483890872,1.0373853843524674,1.4368038326197607,49.398920516577014,3477400.0,25926769.673146974
PINC,2025-09-26 00:30:06,27.81999969482422,27.889999389648438,27.780000686645508,27.809999465942383,1228300,44.16444141207032,27.826666514078777,26.71171958289928,27.612392481684168,27.84183246554628,27.695628103302532,27.537556816776718,26.386692597315655,27.108333524068197,0.8686059797210088,0.7353348435147788,3.9315321576907736,36.62962106545342,9347600.0,118474652.18708453
SLQT,2025-08-06 00:30:07,1.75,1.9299999475479126,1.7450000047683716,1.899999976158142,1911200,32.73526372820479,1.8583333094914753,1.991788059513301,1.7008078040292247,1.7305938196848185,1.8199661156876756,1.6177601978660248,1.852054397039193,1.8260000149408975,1.029337879271756,0.11594007768458854,-6.8627464300345995,29.90433826858972,-19877500.0,-43862127.37075731
REZI,2025-09-22 00:30:13,42.029998779296875,42.70000076293945,41.650001525878906,42.130001068115234,1925400,92.13583772895596,42.16000111897787,37.182113528720585,41.279105273655475,41.762968709209574,41.229386829912556,41.7458693413809,40.57535014287783,39.06599973042806,1.1443425847453765,1.2835748503159876,14.333014907884703,96.78828792427345,56051600.0,234103152.55177203
RCAT,2025-10-06 00:30:13,14.0,15.09000015258789,13.430000305175781,14.579999923706055,24203600,73.51445177804118,14.366666793823242,10.95658809723586,11.43850201074179,12.399303226469149,12.744759627750941,12.771701633627497,11.170025821198765,10.765000216166179,1.221592942147723,1.2087135034924794,34.99999750543528,75.62583838626941,158952000.0,3304612200.465845
SOLV,2025-10-02 00:30:10,72.91000366210938,74.62999725341797,72.7249984741211,74.5999984741211,886800,69.87874479363683,73.98499806722005,72.9402549990659,72.20604960949389,73.02615101868248,73.3688291604609,73.12651828191031,72.77456119736102,72.21200027465821,0.9882281926588761,1.6052491804773545,2.0680384138136954,54.682174966585606,-9596400.0,-10383854.497487301
DCBO,2025-10-24 00:30:05,28.190000534057617,28.225000381469727,27.770000457763672,28.219999313354492,103900,57.566418686170344,28.071666717529297,27.536863060533687,26.928756556242572,26.996195496035494,27.639485235661184,26.36599844835999,27.270194785983865,26.77249997456868,0.9025250633473436,0.6709982617703655,3.8808031643349623,46.15116339023893,224000.0,337438.24830972403
HST,2025-10-02 00:30:10,17.06999969482422,17.219999313354492,16.989999771118164,17.110000610351562,4989200,51.53843082017093,17.106666564941406,17.10700516464351,17.08907312203279,17.193664316588322,17.11179062484147,17.310924569051217,17.141572578820018,17.16927483876546,0.9489600431102865,0.3215775805035682,-0.819954212787977,22.063898497617103,-137143900.0,-37446984.9730127
GOLF,2025-08-09 00:30:09,78.25787505707558,78.98562679590557,74.38984524459431,74.80854797363281,722900,32.49356653960553,76.0613400047109,78.57250915579688,78.13618412826999,78.40585965854737,77.14137787175407,79.13059584789866,79.1962517865088,79.13881505330403,1.2361490225536793,2.240631224303698,-6.212892987099733,28.753982842263017,-363500.0,1469631.6821522766
OSCR,2025-08-15 00:30:05,15.210000038146973,15.979999542236328,15.149999618530273,15.640000343322754,24772100,53.77713803154364,15.589999834696451,14.92574065520465,15.250870986377002,14.899298381027585,15.177340671425144,13.89965678123129,15.120784481861413,15.00666659673055,0.8335064062310867,0.9992259146160102,7.3291268586419145,63.46474326799903,-62837800.0,329275688.8398422
